Time,A1.5,PN,#6,A1.5,Empty,A1.5,SU1,Orlando,PN,Empty,A1.5,PN,A1.5,SU1,Orlando,A1.5,Empty,A1.5,PN,A1.5,Empty,Orlando,A1.5,PN,A1.5,PN,A1.5,SU1,Orlando,A1.5,PN,Empty,Empty,A1.5,SU1,Orlando,A1.5,PN,#6,A1.5,A1.5,SU1,Orlando,A1.5,PN,#6,A1.5,Empty,Empty,Orlando,A1.5,PN,#6,A1.5,PN,A1.5,Orlando,A1.5,PN,#6,A1.5,Empty,A1.5,SU1,AVERAGE
5:10 PM,4,0,0,0,0,0,0,0,0,0,3,0,0,0,2,4,0,6,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,8,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0.80952381
5:20 PM,0,0,0,0,0,0,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296875
5:30 PM,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265625
5:40 PM,0,0,0,6,0,0,0,0,0,0,0,0,2,0,5,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453125
5:50 PM,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6,4,0,0,0,0,0,41,0,0,2,0,0,5,0,1.328125
6:00 PM,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,22,4,0,3,1,0,0,15,0,0,10,0,0,0,0,1.640625
6:10 PM,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,8,0,0,0,13,4,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,6,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1.578125
6:20 PM,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,16,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671875
6:30 PM,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59375
6:40 PM,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,6,11,0,0,0,18,0,0,0,0,0,9,0,1,0,0,0,0,0,0,3,7,0,0,0,1.125
6:50 PM,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,7,5,0,0,0,0,12,0,0,3,0,0,0,0,0,0,18,5,0,2,0,1.234375
7:00 PM,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,12,1,0,11,0,0,0,0,0,0,0,0,0,13,0,1.046875
7:10 PM,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,7,0,0,0,0,1,5,15,0,0,0,0,0,9,0,3,0,16,0,0,1,0,1,0,0,0,0,1.3125
7:20 PM,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,2,0,0,0,0,2,0,2,0,0,0,10,0,2,0,11,0,0,0,0,4,0,0,0,0,1.28125
7:30 PM,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,17,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,36,0,0,0,2,0,0,0,1.6875
7:40 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,2,0,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,7,0,0,2,17,0,0,0,0,0,0,0,1.125
7:50 PM,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,4,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,4,10,5,0,3,2,0,0,4,0,0,0,0,0,0,19,11,0,8,0,0,3,8,0,0,0,0,0,0,0,1.734375
8:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,8,1,0,1,0,2,0,0,0,4,4,8,0,1,0,0,15,3,0,2,0,0,0,11,0,0,2,0,0,0,0,1.234375
8:10 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0,0,0,0,13,0,0,0,0,3,0,8,1,6,0,0,0,0,8,0,18,0,0,0,0,7,9,0,6,0,0,0,17,0,0,0,0,0,0,0,1.921875
8:20 PM,3,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,3,2,11,0,0,0,0,13,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,3,0,0,10,2,0,14,0,0,0,0,0,0,0,5,0,0,0,1.421875
8:30 PM,10,5,1,0,0,5,0,0,0,0,2,0,0,0,5,6,0,0,2,0,0,11,2,6,13,7,0,0,1,3,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,4,2,0,0,1,9,0,9,0,0,0,19,0,0,12,0,0,0,0,2.296875
8:40 PM,31,43,16,11,0,4,10,13,10,0,8,10,9,0,13,16,0,4,9,0,0,6,8,26,46,39,6,1,,7,37,0,0,7,9,33,3,11,7,8,0,0,35,14,53,11,6,0,0,41,25,13,12,10,23,0,26,0,12,26,2,0,12,9,12.55555556
8:50 PM,12,13,9,1,0,0,4,6,10,0,24,2,3,0,0,25,0,0,0,14,0,22,17,24,30,5,10,31,38,15,47,0,0,5,0,21,0,0,1,5,0,0,8,0,37,0,13,0,0,26,3,0,4,10,6,0,9,0,6,8,2,0,13,21,8.75
9:00 PM,0,0,0,0,0,7,1,13,0,0,2,5,0,0,0,1,0,0,0,0,0,8,27,0,22,0,4,7,12,1,16,0,0,0,0,6,0,1,0,5,0,2,0,0,11,0,6,0,0,0,26,0,0,0,0,2,24,0,0,0,0,0,0,17,3.53125
9:10 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0.34375
9:20 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625
9:30 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:40 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:50 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
